Year,Quarter,State,District,Registered Users,App Opens,Average Opens
2019,Q3,Arunachal Pradesh,Shi Yomi,239,158,0.6610878661087866
2019,Q3,Arunachal Pradesh,East Kameng,1304,19974,15.317484662576687
2019,Q3,Arunachal Pradesh,Lohit,6421,112322,17.49291387634325
2019,Q3,Arunachal Pradesh,Lepa Rada,1064,13695,12.871240601503759
2019,Q3,Arunachal Pradesh,Lower Dibang Valley,3398,43057,12.671277221895233
2019,Q3,Arunachal Pradesh,Longding,1634,46571,28.50122399020808
2019,Q3,Arunachal Pradesh,West Siang,4101,64241,15.664715922945623
2019,Q3,Arunachal Pradesh,Kamle,258,3686,14.286821705426357
2019,Q3,Arunachal Pradesh,Upper Siang,1486,8960,6.029609690444145
2019,Q3,Arunachal Pradesh,Kurung Kumey,572,8396,14.678321678321678
2019,Q3,Arunachal Pradesh,Siang,948,13437,14.174050632911392
2019,Q3,Arunachal Pradesh,Kra Daadi,524,11363,21.685114503816795
2019,Q3,Arunachal Pradesh,Changlang,8145,139098,17.07771639042357
2019,Q3,Arunachal Pradesh,Pakke Kessang,244,5099,20.897540983606557
2019,Q3,Arunachal Pradesh,East Siang,8571,118071,13.775638781939097
2019,Q3,Arunachal Pradesh,Upper Subansiri,2748,35114,12.77802037845706
2019,Q3,Arunachal Pradesh,Tawang,6553,114907,17.535022127269954
2019,Q3,Arunachal Pradesh,Namsai,4563,72268,15.837825991672146
2019,Q4,Arunachal Pradesh,Lower Subansiri,3564,53396,14.982042648709315
2019,Q4,Arunachal Pradesh,Tirap,3605,67097,18.612205270457697
2019,Q4,Arunachal Pradesh,Papum Pare,44746,670934,14.994278818218389
2019,Q4,Arunachal Pradesh,Anjaw,1564,23729,15.171994884910486
2019,Q4,Arunachal Pradesh,Lower Siang,1921,28156,14.656949505465903
2019,Q4,Arunachal Pradesh,Dibang Valley,289,1738,6.013840830449827
2019,Q4,Arunachal Pradesh,West Kameng,12562,313584,24.96290399617895
2019,Q4,Arunachal Pradesh,Shi Yomi,266,880,3.308270676691729
2019,Q4,Arunachal Pradesh,East Kameng,1623,27850,17.15958102279729
2019,Q4,Arunachal Pradesh,Lohit,7386,129353,17.513268345518547
2019,Q4,Arunachal Pradesh,Lepa Rada,1263,20798,16.46714172604909
2019,Q4,Arunachal Pradesh,Lower Dibang Valley,3944,50034,12.686105476673427
2019,Q4,Arunachal Pradesh,Longding,1847,48945,26.499729290741744
2019,Q4,Arunachal Pradesh,West Siang,4773,70790,14.831342970877854
2019,Q4,Arunachal Pradesh,Kamle,323,5098,15.78328173374613
2019,Q4,Arunachal Pradesh,Upper Siang,1804,26060,14.445676274944567
2019,Q4,Arunachal Pradesh,Kurung Kumey,653,7904,12.104134762633997
