Year,Quarter,State,Count,Amount,Average Transaction
2019,Q3,Ladakh,92396,331129527.19382226,3583.8080349130078
2019,Q3,Punjab,10706812,22905815605.843315,2139.3684325309264
2019,Q3,Assam,5942571,12950443620.426579,2179.266115697495
2019,Q3,Jharkhand,14220647,21465973993.35938,1509.493484604419
2019,Q3,Odisha,41422272,57304577359.217094,1383.4242930763694
2019,Q3,Bihar,32139900,67692783254.273834,2106.191470859394
2019,Q3,Kerala,9286096,16429809722.064445,1769.29139242847
2019,Q3,Karnataka,170733735,214536720438.18292,1256.5572962963818
2019,Q3,Chandigarh,1506543,3269682087.6608405,2170.3211177250437
2019,Q3,Telangana,121495376,201930021130.42365,1662.0387357822049
2019,Q3,Himachal Pradesh,2735180,5572018781.123304,2037.1671265230457
2019,Q3,West Bengal,66444829,70540532616.82985,1061.640667580465
2019,Q3,Gujarat,38228649,59462694964.26753,1555.4485057598433
2019,Q3,Sikkim,552436,884716448.4404289,1601.4822503247958
2019,Q3,Nagaland,261878,650956471.7134112,2485.724160538156
2019,Q3,Mizoram,98094,278793899.9513421,2842.1096086543735
2019,Q3,Chhattisgarh,12243111,19803259167.45372,1617.5022155278768
2019,Q3,Jammu & Kashmir,1116526,3744230491.7824554,3353.4646678917065
2019,Q3,Goa,1092416,2000367191.496843,1831.1405101141352
2019,Q3,Arunachal Pradesh,370234,912645034.7958709,2465.0492250735233
2019,Q3,Delhi,69537876,103196812046.45712,1484.0374481161477
2019,Q3,Uttarakhand,5710476,9729032070.017406,1703.7164800302824
2019,Q4,Puducherry,1012655,1932028317.878899,1907.8840452858071
2019,Q4,Tamil Nadu,56596411,103190865512.53719,1823.2757817900713
2019,Q4,Uttar Pradesh,86905005,145538926507.3059,1674.6898122531138
2019,Q4,Madhya Pradesh,68131989,104687926790.86589,1536.545877016241
2019,Q4,Andhra Pradesh,107218103,200948315488.80518,1874.201369602717
2019,Q4,Tripura,801824,1215400160.2581887,1515.794189570515
2019,Q4,Lakshadweep,3765,11269913.40492385,2993.3368937380747
2019,Q4,Manipur,449344,1200897682.088641,2672.5575107014693
2019,Q4,Maharashtra,201260620,272994428799.5649,1356.4224774800202
2019,Q4,Dadra & Nagar Haveli & Daman & Diu,768971,1226641262.0110402,1595.172330310298
2019,Q4,Meghalaya,365981,742436471.7902198,2028.6202611343751
2019,Q4,Andaman & Nicobar Islands,35159,136838530.5173779,3891.991538933926
2019,Q4,Haryana,37825985,69359719869.10008,1833.6527090860973
2019,Q4,Rajasthan,85074242,159452410049.68317,1874.273649710369
2019,Q4,Ladakh,84706,324689360.02811134,3833.1329543138777
2019,Q4,Punjab,13698625,29989802246.19331,2189.256384943256
2019,Q4,Assam,6760510,15281983895.512564,2260.4779662351752
2019,Q4,Jharkhand,18248618,28147748376.677704,1542.4591811104656
2019,Q4,Odisha,64995633,79769373632.04843,1227.3035887203134
2019,Q4,Bihar,43530314,93313426577.80905,2143.6423954536385
2019,Q4,Kerala,12498637,21151326637.805134,1692.2906583978024
2019,Q4,Karnataka,237796252,295047143447.23846,1240.7560714928277
2019,Q4,Chandigarh,1850915,4152513817.939354,2243.4924445149313
2019,Q4,Telangana,163572258,280746765547.7425,1716.3470687538133
2019,Q4,Himachal Pradesh,3516646,7271163537.248161,2067.641592940592
2019,Q4,West Bengal,96805838,88203610254.64601,911.1393700723505
2019,Q4,Gujarat,42547632,76690662054.91542,1802.4660468746044
2019,Q4,Sikkim,767070,1176509601.6562185,1533.7708444551586
2019,Q4,Nagaland,317170,834537138.3487777,2631.198216567701
2019,Q4,Mizoram,125239,368689350.6344881,2943.886094862528
2019,Q4,Chhattisgarh,16305758,27143788737.21397,1664.6750636930813
2019,Q4,Jammu & Kashmir,489928,1929695997.8225975,3938.7338503261653
2019,Q4,Goa,1515272,2923460348.4994645,1929.3304096554707
2019,Q4,Arunachal Pradesh,459475,1190573179.5272837,2591.1598662109664
2019,Q4,Delhi,80744997,129024467424.89062,1597.925224084046
2019,Q4,Uttarakhand,7362116,12573706305.150612,1707.8929896174702
2020,Q1,Puducherry,1207921,2205277477.079584,1825.6802200471589
2020,Q1,Tamil Nadu,66953473,116569686179.4346,1741.0551082157397
2020,Q1,Uttar Pradesh,97239132,172416434960.69037,1773.1177913094737
2020,Q1,Madhya Pradesh,79366746,126737281436.18526,1596.8562127542089
2020,Q1,Andhra Pradesh,127677357,252737214289.0485,1979.4991079667202
2020,Q1,Tripura,924502,1588778806.3885012,1718.5239257335313
2020,Q1,Lakshadweep,5151,13502368.57450421,2621.3101484186004
2020,Q1,Manipur,818801,2598590380.8769474,3173.6531597750213
2020,Q1,Maharashtra,238944081,319995196718.0683,1339.2053713105715
2020,Q1,Dadra & Nagar Haveli & Daman & Diu,878579,1342763369.292519,1528.3353793939066
2020,Q1,Meghalaya,502283,1120134840.9078057,2230.0871040982984
2020,Q1,Andaman & Nicobar Islands,41298,161476312.2972747,3910.0274177266383
2020,Q1,Haryana,44036087,81976214558.24355,1861.5690026737286
2020,Q1,Rajasthan,102258812,190308238561.00217,1861.044880523374
2020,Q1,Ladakh,116419,377639677.4457431,3243.7976399534705
2020,Q1,Punjab,15217784,31374185265.899654,2061.678971517775
2020,Q1,Assam,8808860,20668428347.72898,2346.322719140613
2020,Q1,Jharkhand,18282713,33611232153.269115,1838.4160027709845
2020,Q1,Odisha,53682307,91956798199.33679,1712.981489400908
2020,Q1,Bihar,45081815,109256853527.24524,2423.5238427566687
2020,Q1,Kerala,15733522,26451084830.93425,1681.1928588484034
2020,Q1,Karnataka,271033890,353402054999.4004,1303.9035634968025
2020,Q1,Chandigarh,2262511,5126453070.016205,2265.82459489311
2020,Q1,Telangana,199409525,371343780368.2118,1862.216864355962
2020,Q1,Himachal Pradesh,4144480,7419466751.122733,1790.2045011974321
2020,Q1,West Bengal,66250381,96653305190.9406,1458.9094240973589
2020,Q1,Gujarat,47326417,86995076621.90231,1838.1927501907087
2020,Q1,Sikkim,528118,1053476271.9444009,1994.774410159095
2020,Q1,Nagaland,378051,894780028.7343724,2366.823599816883
2020,Q1,Mizoram,153609,392077579.3496374,2552.438850260319
2020,Q1,Chhattisgarh,19523991,32860597671.356686,1683.0881386575463
2020,Q1,Jammu & Kashmir,921630,2937643176.534005,3187.4430916246274
2020,Q1,Goa,1881237,3410371231.9237647,1812.8344445297241
2020,Q1,Arunachal Pradesh,567175,1381758681.3301477,2436.2122472431747
2020,Q1,Delhi,81747604,133616543642.58943,1634.5010386186907
2020,Q1,Uttarakhand,9131784,16158080258.987526,1769.4330329087422
2020,Q2,Puducherry,1033383,1960030980.4875922,1896.713010072347
2020,Q2,Tamil Nadu,51870110,95826508896.84135,1847.4321511336943
2020,Q2,Uttar Pradesh,100851965,178744016130.31216,1772.3404410644073
2020,Q2,Madhya Pradesh,76340573,147922015289.08447,1937.6592220375983
2020,Q2,Andhra Pradesh,144917855,302583689746.5449,2087.966936486501
2020,Q2,Tripura,1052520,1769175883.585958,1680.8952643046764
2020,Q2,Lakshadweep,7220,16942922.08594439,2346.665108856564
2020,Q2,Manipur,1083068,3198936212.8055243,2953.5875981983813
2020,Q2,Maharashtra,184790761,296359517159.41614,1603.757220088596
2020,Q2,Dadra & Nagar Haveli & Daman & Diu,973152,1302376453.8880572,1338.307329058623
2020,Q2,Meghalaya,635395,1153735154.3383913,1815.7762562475173
2020,Q2,Andaman & Nicobar Islands,62962,169645001.41414702,2694.402995682269
2020,Q2,Haryana,41781050,80711264923.94525,1931.7672706632613
2020,Q2,Rajasthan,101954656,193763273003.28284,1900.4847900549323
2020,Q2,Ladakh,155010,523792998.6520228,3379.091662808998
2020,Q2,Punjab,14081294,30284654252.21334,2150.7010827423487
2020,Q2,Assam,10505199,19766300125.91926,1881.5731264033416
2020,Q2,Jharkhand,20141511,37486201975.923416,1861.1414990624792
2020,Q2,Odisha,50028576,91733036612.10583,1833.6127858627403
2020,Q2,Bihar,53386742,128806523628.85287,2412.706203889589
2020,Q2,Kerala,16287967,25894078478.599953,1589.7673711274067
2020,Q2,Karnataka,213221712,321104877020.14185,1505.967070652457
2020,Q2,Chandigarh,1528010,3847015729.690074,2517.6639745093776
2020,Q2,Telangana,152055143,321531839352.4224,2114.573917124411
2020,Q2,Himachal Pradesh,4695730,8036904762.544065,1711.5346841798964
2020,Q2,West Bengal,57676797,100099431877.35757,1735.5234181495475
2020,Q2,Gujarat,47420185,80387846359.49454,1695.2242248631999
2020,Q2,Sikkim,517731,1054618788.2612653,2037.0014317498185
2020,Q2,Nagaland,517566,1137674504.3478017,2198.124498803634
2020,Q2,Mizoram,198462,457193433.4423174,2303.6824855252767
2020,Q2,Chhattisgarh,18820925,32268382206.900894,1714.495021201184
2020,Q2,Jammu & Kashmir,2635006,8265648939.258666,3136.861524891657
2020,Q2,Goa,1482092,2183616430.016773,1473.3339293490371
2020,Q2,Arunachal Pradesh,808774,1826716832.9849606,2258.624576191817
2020,Q2,Delhi,66042018,107873438203.33162,1633.4061476336417
2020,Q2,Uttarakhand,9047770,16094187702.100985,1778.8015944371912
2020,Q3,Puducherry,1730902,3598080229.434597,2078.731337438282
2020,Q3,Tamil Nadu,70277825,143841415498.65747,2046.7539440592743
2020,Q3,Uttar Pradesh,127405259,248689955423.05322,1951.9598906278525
2020,Q3,Madhya Pradesh,108579881,205701679984.53757,1894.4732494644893
2020,Q3,Andhra Pradesh,204902935,467084130584.93884,2279.538507269009
2020,Q3,Tripura,1317885,2341819516.215885,1776.9528572036902
2020,Q3,Lakshadweep,8589,21306833.308656827,2480.711760234815
2020,Q3,Manipur,1420168,4615976120.870485,3250.3028661894123
2020,Q3,Maharashtra,268310924,440307079012.4761,1641.0329942901471
2020,Q3,Dadra & Nagar Haveli & Daman & Diu,1138312,1749789114.9993598,1537.1788358546337
2020,Q3,Meghalaya,597579,1237059001.3830369,2070.117928145127
2020,Q3,Andaman & Nicobar Islands,117483,338019446.3303601,2877.1775178567123
2020,Q3,Haryana,57938179,109567950445.72871,1891.11829775887
2020,Q3,Rajasthan,149088676,293678306162.4698,1969.8230210486931
2020,Q3,Ladakh,228222,835487500.058193,3660.8543438327283
2020,Q3,Punjab,17209573,40123092147.81354,2331.440306381427
2020,Q3,Assam,12397711,29831391259.543846,2406.201536682364
2020,Q3,Jharkhand,27068473,50622615820.01348,1870.1688794936265
2020,Q3,Odisha,66033829,122463943804.29193,1854.5637237588014
2020,Q3,Bihar,71503748,173328865111.8144,2424.0528637997327
2020,Q3,Kerala,21758680,40164150651.95372,1845.8909571699073
2020,Q3,Karnataka,300360531,470740515696.6945,1567.2515763953504
2020,Q3,Chandigarh,2158086,5089809353.36507,2358.483097228317
2020,Q3,Telangana,236372126,505961144755.88367,2140.5279603733125
2020,Q3,Himachal Pradesh,5489876,10516054014.086905,1915.5357997315248
2020,Q3,West Bengal,79954504,156813355855.1383,1961.282329449987
2020,Q3,Gujarat,59290179,111921752484.70932,1887.6946295727885
2020,Q3,Sikkim,596435,1400926728.6603994,2348.8338690056744
2020,Q3,Nagaland,736319,2009649143.1547942,2729.318601251352
2020,Q3,Mizoram,254703,707944175.5046022,2779.4889557822335
2020,Q3,Chhattisgarh,24148539,41526744807.53401,1719.637979238993
2020,Q3,Jammu & Kashmir,3465898,11977229760.872362,3455.736366411349
2020,Q3,Goa,1915531,3368343580.9446573,1758.438564003745
2020,Q3,Arunachal Pradesh,962827,2609938565.55822,2710.703548569182
2020,Q3,Delhi,96491861,175163962804.6604,1815.3237069876848
2020,Q3,Uttarakhand,11818935,22103510968.006454,1870.1778940324534
2020,Q4,Puducherry,2716003,4930526217.671207,1815.3611088320622
2020,Q4,Tamil Nadu,111179701,206473197500.99268,1857.1123653318034
