State,District,Year,Quarter,Count,Amount,Average Transaction
Arunachal Pradesh,West Siang,2021,Q2,18,8990.0,499.44444444444446
Arunachal Pradesh,Upper Siang,2021,Q2,1,210.0,210.0
Arunachal Pradesh,Tirap,2021,Q2,1,1405.0,1405.0
Arunachal Pradesh,Papum Pare,2021,Q2,69,89335.0,1294.7101449275362
Arunachal Pradesh,Kurung Kumey,2021,Q2,2,94.0,47.0
Arunachal Pradesh,Anjaw,2021,Q2,2,19882.0,9941.0
Arunachal Pradesh,Siang,2021,Q2,1,5423.0,5423.0
Arunachal Pradesh,Kra Daadi,2021,Q2,1,210.0,210.0
Arunachal Pradesh,Changlang,2021,Q2,12,11258.0,938.1666666666666
Arunachal Pradesh,West Kameng,2021,Q2,20,17896.0,894.8
Arunachal Pradesh,Shi Yomi,2021,Q2,1,933.0,933.0
Arunachal Pradesh,East Siang,2021,Q2,6,2979.0,496.5
Arunachal Pradesh,Upper Subansiri,2021,Q2,2,467.0,233.5
Arunachal Pradesh,East Kameng,2021,Q2,4,327.0,81.75
Arunachal Pradesh,Lohit,2021,Q2,16,21096.0,1318.5
Arunachal Pradesh,Tawang,2021,Q2,13,23216.0,1785.8461538461538
Arunachal Pradesh,Namsai,2021,Q2,11,8880.0,807.2727272727273
Arunachal Pradesh,Lower Dibang Valley,2021,Q3,13,11845.0,911.1538461538462
Arunachal Pradesh,Lower Subansiri,2021,Q3,6,11875.0,1979.1666666666667
Arunachal Pradesh,West Siang,2021,Q3,21,57300.0,2728.5714285714284
Arunachal Pradesh,Kamle,2021,Q3,2,1245.0,622.5
Arunachal Pradesh,Upper Siang,2021,Q3,5,11455.0,2291.0
Arunachal Pradesh,Tirap,2021,Q3,14,38082.0,2720.1428571428573
Arunachal Pradesh,Papum Pare,2021,Q3,50,95368.0,1907.36
Arunachal Pradesh,Anjaw,2021,Q3,1,1531.0,1531.0
Arunachal Pradesh,Lower Siang,2021,Q3,3,1927.0,642.3333333333334
Arunachal Pradesh,Kra Daadi,2021,Q3,1,946.0,946.0
Arunachal Pradesh,Changlang,2021,Q3,15,25894.0,1726.2666666666667
Arunachal Pradesh,West Kameng,2021,Q3,22,21566.0,980.2727272727273
Arunachal Pradesh,East Siang,2021,Q3,23,32914.0,1431.0434782608695
