Year,Quarter,State,District,Count,Amount,Average Transaction
2022,Q1,Andhra Pradesh,Prakasam District,1797,2181402.0,1213.9131886477462
2022,Q1,Andhra Pradesh,Anantapur District,1551,2556602.0,1648.3571889103805
2022,Q1,Andhra Pradesh,Ysr District,1439,2086496.0,1449.9624739402364
2022,Q2,Andhra Pradesh,Visakhapatnam District,5851,7046107.0,1204.2568791659546
2022,Q2,Andhra Pradesh,Krishna District,4578,5733009.0,1252.2955439056357
2022,Q2,Andhra Pradesh,Guntur District,3115,3979873.0,1277.6478330658106
2022,Q2,Andhra Pradesh,East Godavari District,3103,3899091.0,1256.5552690944248
2022,Q2,Andhra Pradesh,Chittoor District,2836,4207850.0,1483.7270803949225
2022,Q2,Andhra Pradesh,West Godavari District,2141,2903957.0,1356.3554413825316
2022,Q2,Andhra Pradesh,Spsr Nellore District,2063,2686947.0,1302.4464372273387
2022,Q2,Andhra Pradesh,Prakasam District,1962,2331922.0,1188.5433231396535
2022,Q2,Andhra Pradesh,Anantapur District,1794,2729962.0,1521.7179487179487
2022,Q2,Andhra Pradesh,Ysr District,1418,1920103.0,1354.0923836389281
2022,Q3,Andhra Pradesh,Visakhapatnam District,6720,7779967.0,1157.7331845238095
2022,Q3,Andhra Pradesh,Krishna District,5529,6149431.0,1112.2139627419062
2022,Q3,Andhra Pradesh,Guntur District,4431,5271211.0,1189.6210787632588
2022,Q3,Andhra Pradesh,East Godavari District,4355,5505134.0,1264.0950631458095
2022,Q3,Andhra Pradesh,Chittoor District,3729,5145111.0,1379.7562349155269
