Year,Quarter,State,Pincode,Count,Amount,Average Transaction
2022,Q3,Andaman & Nicobar Islands,744301,27668,70002553.35288173,2530.0908397022454
2022,Q4,Andaman & Nicobar Islands,744104,684366,1309407988.2902,1913.315372607932
2022,Q4,Andaman & Nicobar Islands,744103,304600,612929267.1773143,2012.2431621054309
2022,Q4,Andaman & Nicobar Islands,744105,258097,505662756.1128938,1959.1965660697094
2022,Q4,Andaman & Nicobar Islands,744101,243494,467192496.17391205,1918.7022931731872
2022,Q4,Andaman & Nicobar Islands,744102,134923,264371699.73904055,1959.426485766256
2022,Q4,Andaman & Nicobar Islands,744211,56491,137253267.66612908,2429.6483982604145
2022,Q4,Andaman & Nicobar Islands,744107,54192,104539818.47127225,1929.0636712295586
2022,Q4,Andaman & Nicobar Islands,744112,46364,82461782.47749998,1778.573515604779
2022,Q4,Andaman & Nicobar Islands,744202,34689,94217164.85909571,2716.0530675169566
2022,Q4,Andaman & Nicobar Islands,744301,33669,82466591.07632071,2449.332949488274
2023,Q1,Andaman & Nicobar Islands,744103,503053,969594706.0,1927.4205819267552
2023,Q1,Andaman & Nicobar Islands,744105,418090,774570559.0,1852.6407208974144
2023,Q1,Andaman & Nicobar Islands,744101,403456,749508057.0,1857.7194464823922
2023,Q1,Andaman & Nicobar Islands,744102,222855,427240840.0,1917.124767225326
2023,Q1,Andaman & Nicobar Islands,744104,118286,201531285.0,1703.7627868048628
2023,Q1,Andaman & Nicobar Islands,744211,107424,263885620.0,2456.48663240989
2023,Q1,Andaman & Nicobar Islands,744107,92715,168098531.0,1813.0672598824353
2023,Q1,Andaman & Nicobar Islands,744112,76246,131598911.0,1725.9779004800253
2023,Q1,Andaman & Nicobar Islands,744202,59440,165959850.0,2792.0566958277254
2023,Q1,Andaman & Nicobar Islands,744301,55605,111713635.0,2009.057368941642
2023,Q2,Andaman & Nicobar Islands,744103,597774,1119274409.0,1872.4039670510929
2023,Q2,Andaman & Nicobar Islands,744105,507585,916209552.0,1805.0366973019297
2023,Q2,Andaman & Nicobar Islands,744101,486154,824857096.0,1696.699185854688
2023,Q2,Andaman & Nicobar Islands,744102,269165,458977445.0,1705.1899206806233
2023,Q2,Andaman & Nicobar Islands,744104,134785,205244167.0,1522.7522869755537
2023,Q2,Andaman & Nicobar Islands,744107,114795,194986633.0,1698.5638137549545
2023,Q2,Andaman & Nicobar Islands,744211,106510,222510323.0,2089.102647638719
2023,Q2,Andaman & Nicobar Islands,744112,89784,147571191.0,1643.6245990376904
2023,Q2,Andaman & Nicobar Islands,744202,72315,211302035.0,2921.966881006707
2023,Q2,Andaman & Nicobar Islands,744301,63841,134197959.0,2102.0654281731177
2023,Q3,Andaman & Nicobar Islands,744103,697625,1158992204.0,1661.3398373051425
2023,Q3,Andaman & Nicobar Islands,744105,594280,962825309.0,1620.1543195126876
2023,Q3,Andaman & Nicobar Islands,744101,561910,880223225.0,1566.4843569254863
2023,Q3,Andaman & Nicobar Islands,744102,301979,500512890.0,1657.4427029694118
2023,Q3,Andaman & Nicobar Islands,744104,144283,201467258.0,1396.3339963821102
2023,Q3,Andaman & Nicobar Islands,744107,126430,192271794.0,1520.776666930317
2023,Q3,Andaman & Nicobar Islands,744211,122188,205773943.0,1684.076529610109
2023,Q3,Andaman & Nicobar Islands,744112,102093,142609621.0,1396.859931630964
2023,Q3,Andaman & Nicobar Islands,744202,81233,229651761.0,2827.0747233267266
2023,Q3,Andaman & Nicobar Islands,744301,72307,142757567.0,1974.3256807777948
2023,Q4,Andaman & Nicobar Islands,744103,817988,1376084403.0,1682.2794503097846
2023,Q4,Andaman & Nicobar Islands,744105,687868,1111327351.0,1615.6113542133085
2023,Q4,Andaman & Nicobar Islands,744101,665217,1030639279.0,1549.327932088326
2023,Q4,Andaman & Nicobar Islands,744102,343773,550517935.0,1601.399571810468
2023,Q4,Andaman & Nicobar Islands,744211,208914,434254474.0,2078.627923451755
2023,Q4,Andaman & Nicobar Islands,744104,180753,276651786.0,1530.5515593102189
2023,Q4,Andaman & Nicobar Islands,744107,150575,215238085.0,1429.441042669766
2023,Q4,Andaman & Nicobar Islands,744112,121589,178498997.0,1468.0521839969076
2023,Q4,Andaman & Nicobar Islands,744301,92294,197278662.0,2137.5025678809025
2023,Q4,Andaman & Nicobar Islands,744202,91113,233493969.0,2562.6855552994634
2018,Q1,Andhra Pradesh,517501,110496,163487278.84449506,1479.576444798862
2018,Q1,Andhra Pradesh,520001,96883,170605900.5466873,1760.947746732526
2018,Q1,Andhra Pradesh,515001,92754,133522310.75704184,1439.5315647523755
2018,Q1,Andhra Pradesh,517507,88132,127450018.2101582,1446.1264717714134
2018,Q1,Andhra Pradesh,516001,84644,131194265.5243713,1549.9535173712407
2018,Q1,Andhra Pradesh,518502,82421,68040306.13881023,825.5214828600749
2018,Q1,Andhra Pradesh,530016,81891,140880970.0990568,1720.3474142342482
2018,Q1,Andhra Pradesh,520010,69581,119009921.97401813,1710.3795860079351
2018,Q1,Andhra Pradesh,516360,68340,101612118.88480642,1486.8615581622246
2018,Q1,Andhra Pradesh,518501,68193,81006512.71677604,1187.9007041305713
2018,Q2,Andhra Pradesh,517501,165506,305629373.15863353,1846.636213542914
2018,Q2,Andhra Pradesh,518502,140893,127814123.87394845,907.1715690200965
2018,Q2,Andhra Pradesh,515001,129798,285924993.6163615,2202.8459114652114
2018,Q2,Andhra Pradesh,517507,127731,243405277.90481398,1905.6084889714632
2018,Q2,Andhra Pradesh,520001,123176,271911611.0495833,2207.50479841514
2018,Q2,Andhra Pradesh,516001,114806,242175477.6115077,2109.4322388334035
2018,Q2,Andhra Pradesh,530016,111874,235770318.03054443,2107.463021171536
2018,Q2,Andhra Pradesh,520010,100630,220730389.6490364,2193.484941359797
2018,Q2,Andhra Pradesh,516360,96619,197068813.60447282,2039.6486571427236
2018,Q2,Andhra Pradesh,518501,93442,163942778.22947574,1754.4870425448485
2018,Q3,Andhra Pradesh,518502,1300146,709765829.9649723,545.9124051952414
2018,Q3,Andhra Pradesh,533437,421968,240766495.05853492,570.579984876898
2018,Q3,Andhra Pradesh,518501,296154,291247918.8462258,983.4340202942584
2018,Q3,Andhra Pradesh,517501,295403,466133618.6014985,1577.9583098394346
2018,Q3,Andhra Pradesh,515001,276595,438158383.2247275,1584.1153427383992
2018,Q3,Andhra Pradesh,530016,234494,380410223.19526947,1622.2599435178277
2018,Q3,Andhra Pradesh,517507,233347,386563858.6898683,1656.6052217935876
2018,Q3,Andhra Pradesh,516259,220165,109844218.671292,498.9177147652534
2018,Q3,Andhra Pradesh,520011,213275,291805923.00111276,1368.214385188666
2018,Q3,Andhra Pradesh,520001,206435,371140000.30740225,1797.854047556869
2018,Q4,Andhra Pradesh,518502,441662,332201263.2829269,752.161751028902
2018,Q4,Andhra Pradesh,517501,423357,714887920.0334857,1688.6172191164565
2018,Q4,Andhra Pradesh,530016,367619,575982481.3389585,1566.7919268018206
2018,Q4,Andhra Pradesh,515001,355695,651952970.9302757,1832.898890707701
