Year,Quarter,State,District,Count,Amount,Average Transaction
2022,Q4,Assam,Cachar,705,1215813.0,1724.5574468085106
2022,Q4,Assam,Tinsukia,650,1190417.0,1831.4107692307691
2022,Q4,Assam,Jorhat,606,1014221.0,1673.6320132013202
2022,Q4,Assam,Lakhimpur,481,987421.0,2052.8503118503118
2023,Q1,Assam,Kamrup Metropolitan,5668,7671824.0,1353.5328158080451
2023,Q1,Assam,Dibrugarh,1255,2224803.0,1772.7513944223108
2023,Q1,Assam,Sonitpur,1065,1974045.0,1853.5633802816901
2023,Q1,Assam,Nagaon,978,1827073.0,1868.1728016359918
2023,Q1,Assam,Barpeta,948,1554633.0,1639.9082278481012
2023,Q1,Assam,Kamrup,923,1577259.0,1708.839653304442
2023,Q1,Assam,Jorhat,887,1574670.0,1775.2762119503946
2023,Q1,Assam,Tinsukia,813,1490071.0,1832.8056580565806
2023,Q1,Assam,Cachar,807,1506973.0,1867.3767038413878
2023,Q1,Assam,Lakhimpur,688,1386745.0,2015.6177325581396
2023,Q2,Assam,Kamrup Metropolitan,4012,5898627.0,1470.2460119641078
2023,Q2,Assam,Dibrugarh,1121,2142408.0,1911.157894736842
2023,Q2,Assam,Sonitpur,893,1605940.0,1798.3650615901456
2023,Q2,Assam,Nagaon,767,1428414.0,1862.3389830508474
2023,Q2,Assam,Kamrup,690,1153785.0,1672.1521739130435
2023,Q2,Assam,Barpeta,683,1025061.0,1500.8213762811126
2023,Q2,Assam,Cachar,656,1133925.0,1728.5442073170732
2023,Q2,Assam,Tinsukia,641,1239379.0,1933.5085803432137
2023,Q2,Assam,Jorhat,581,1111680.0,1913.3907056798623
2023,Q2,Assam,Lakhimpur,574,1175317.0,2047.5905923344949
2023,Q3,Assam,Kamrup Metropolitan,4860,6709390.0,1380.5329218106997
2023,Q3,Assam,Dibrugarh,1582,2574384.0,1627.2970922882428
2023,Q3,Assam,Barpeta,1229,1769686.0,1439.939788445891
2023,Q3,Assam,Nagaon,1173,1931012.0,1646.2165387894288
2023,Q3,Assam,Sonitpur,1077,1850471.0,1718.1717734447539
2023,Q3,Assam,Tinsukia,1072,1795306.0,1674.7257462686566
2023,Q3,Assam,Kamrup,927,1535288.0,1656.1898597626753
2023,Q3,Assam,Cachar,842,1278019.0,1517.8372921615203
2023,Q3,Assam,Lakhimpur,710,1288953.0,1815.4267605633802
2023,Q3,Assam,Dhubri,699,1028552.0,1471.4620886981402
2023,Q4,Assam,Kamrup Metropolitan,5317,7719481.0,1451.8489749858943
2023,Q4,Assam,Sonitpur,1353,2337321.0,1727.509977827051
2023,Q4,Assam,Dibrugarh,1311,2554356.0,1948.4027459954234
2023,Q4,Assam,Barpeta,1163,1993408.0,1714.0223559759243
2023,Q4,Assam,Kamrup,1106,1685946.0,1524.363471971067
2023,Q4,Assam,Nagaon,1095,1810718.0,1653.6237442922375
2023,Q4,Assam,Jorhat,963,1550776.0,1610.3592938733125
2023,Q4,Assam,Tinsukia,899,1734025.0,1928.837597330367
2023,Q4,Assam,Dhubri,755,1083292.0,1434.8238410596027
2023,Q4,Assam,Cachar,737,1308876.0,1775.9511533242876
2020,Q2,Bihar,Patna,685,126689.0,184.94744525547446
2020,Q2,Bihar,Begusarai,158,31671.0,200.4493670886076
2020,Q2,Bihar,Muzaffarpur,132,28803.0,218.20454545454547
2020,Q2,Bihar,Gaya,117,24619.0,210.4188034188034
2020,Q2,Bihar,Darbhanga,103,21997.0,213.5631067961165
2020,Q2,Bihar,Purbi Champaran,100,22466.0,224.66
2020,Q2,Bihar,Bhagalpur,96,22602.0,235.4375
2020,Q2,Bihar,Pashchim Champaran,92,20072.0,218.17391304347825
2020,Q2,Bihar,Madhubani,89,19995.0,224.6629213483146
2020,Q2,Bihar,Vaishali,86,20680.0,240.46511627906978
2020,Q3,Bihar,Patna,1926,427322.0,221.87019730010385
2020,Q3,Bihar,Muzaffarpur,752,179003.0,238.03590425531914
2020,Q3,Bihar,Purbi Champaran,497,111197.0,223.7364185110664
2020,Q3,Bihar,Gaya,408,85332.0,209.14705882352942
2020,Q3,Bihar,Vaishali,408,89031.0,218.21323529411765
2020,Q3,Bihar,Samastipur,344,81819.0,237.84593023255815
2020,Q3,Bihar,Darbhanga,325,73191.0,225.20307692307694
2020,Q3,Bihar,Bhagalpur,325,80091.0,246.43384615384616
2020,Q3,Bihar,Saran,323,78623.0,243.41486068111456
2020,Q3,Bihar,Purnia,292,61193.0,209.56506849315068
2020,Q4,Bihar,Patna,1831,1396144.0,762.5035499726926
2020,Q4,Bihar,Muzaffarpur,616,462851.0,751.3814935064935
2020,Q4,Bihar,Vaishali,445,381786.0,857.9460674157303
2020,Q4,Bihar,Saran,410,376021.0,917.1243902439024
2020,Q4,Bihar,Samastipur,404,405354.0,1003.3514851485148
2020,Q4,Bihar,Darbhanga,375,329076.0,877.536
2020,Q4,Bihar,Gaya,366,260585.0,711.9808743169399
2020,Q4,Bihar,Madhubani,362,312107.0,862.1740331491712
2020,Q4,Bihar,Purbi Champaran,336,195193.0,580.9315476190476
2020,Q4,Bihar,Bhagalpur,332,281912.0,849.1325301204819
2021,Q1,Bihar,Patna,2101,1349311.0,642.2232270347454
2021,Q1,Bihar,Muzaffarpur,750,518615.0,691.4866666666667
